source_ledger,source_row,source_id,title,url,source_date,checked,evidence_category,bounded_claim,retrieval_depth,limitation
evidence-and-design-ledger.csv,2,A01,"A01 — Fan et al. (2025). Work time reduction via a 4-day workweek finds improvements in workers' well-being. Full paper, NSF public-access repository. Table 2 (PDF pp. 3–4), methods, limitations and disclosures. Full PDF retrieved; Table 2 visually checked.",https://doi.org/10.1038/s41562-025-02259-6 ; https://par.nsf.gov/servlets/purl/10636509,2025,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Actual hours and wellbeing changed together with job redesign,Full NSF-hosted PDF; Table 2 visually checked locally; publisher cookie failure bypassed with primary repository,"Selection, subjective outcomes, control mismatch; no national output effect"
evidence-and-design-ledger.csv,3,A02,"A02 — Autonomy and research partners (2023). The results are in: the UK's four-day week pilot. Executive summary; company metrics, PDF p. 29; funding acknowledgements. Full report retrieved.",https://autonomy.work/wp-content/uploads/2023/02/The-results-are-in-The-UKs-four-day-week-pilot.pdf,2023 report; 2022 trial,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,UK continuation and different revenue denominators,Full PDF text; revenue table p29 checked,Self-selected companies; incomplete company metrics; possible overlap with A01
evidence-and-design-ledger.csv,4,A03,"A03 — Autonomy (2024). Making it stick: the UK's four-day week pilot one year on. Executive summary and PDF p. 17, policy continuation and follow-up samples. Full report retrieved.",https://autonomy.work/wp-content/uploads/2024/02/making-it-stick_-1.pdf,2024 follow-up,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,"Continuation, discontinuation and missing responses distinguished",Full PDF; p17 continuation and methods checked,Detailed follow-up subset; no representative national counterfactual
evidence-and-design-ledger.csv,5,A04,"A04 — Hopkins, Bardoel and Djurkovic (2026). The four-day workweek in Australia: insights from early adopters of the 100:80:100 model. Methods, Table 1, stopped Organisation 3, results, limitations and disclosures. Published 13 May; page records a 27 July version of record. Full article retrieved.",https://www.nature.com/articles/s41599-026-07536-x,13 May 2026; version of record 27 July,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Small-firm leadership accounts include a stopped arrangement,"Full publisher article: methods, Table 1, results and disclosures",15 self-selected/visible adopters; not employee or payroll audit
evidence-and-design-ledger.csv,6,A05,"A05 — Haraldsson and Kellam (2021). Going public: Iceland's journey to a shorter working week. Executive summary, trial-development/methods sections and appendices. Synthesis retrieved; underlying Icelandic evaluations not separately audited.",https://alda.is/wp-content/uploads/2021/07/ICELAND_4DW.pdf,2021 synthesis; trials began 2015 and 2017,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Shorter hours at unchanged pay in varied services,"Full PDF summary, methods and appendices; underlying government evaluations not separately audited",Many reductions smaller than 20 percent; 86 percent includes rights
evidence-and-design-ledger.csv,7,A06,"A06 — South Cambridgeshire District Council. Four-day working week. Current arrangement, July 2025 performance summary and costs; council account, not a reproduced independent analysis.",https://www.scambs.gov.uk/four-day-working-week,July 2025 analysis on current council page,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Council reports service stability and staffing savings,Official page read; full underlying latest evaluation not retrieved,Employer summary; local agency/vacancy and pandemic context
evidence-and-design-ledger.csv,8,A07,A07 — Fair Work Ombudsman. Hours of work. Current maximum-hours explanation; individual awards and agreements remain to be examined.,https://www.fairwork.gov.au/employment-conditions/hours-of-work-breaks-and-rosters/hours-of-work,Current at retrieval,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Maximum-hours framework is distinct from proposed four-day entitlement,Official page retrieved,No individual employment-instrument determination
evidence-and-design-ledger.csv,9,A08,A08 — Fair Work Ombudsman (26 August 2025). Small business employees now have the right to disconnect.,https://www.fairwork.gov.au/newsroom/media-releases/2025-media-releases/august-2025/20250826-right-to-disconnect-starts-for-small-business-employees-media-release,26 August 2025,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Right-to-disconnect context for out-of-hours work,Official media release retrieved,Not a complete reduced-hours enforcement design
evidence-and-design-ledger.csv,10,B01,"B01: Longgang government-hosted account, 11 March 2026, draft and solo-startup paragraphs.",https://www.lg.gov.cn/english/news/latestnews/content/post_12679459.html,11 March 2026 account of 7 March draft,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,OpenClaw/solo-startup support proposal,Official English page read,Local selective support; no final instrument or outcome verified
evidence-and-design-ledger.csv,11,B02,"B02: Wuxi High-Tech Zone issuing-bureau consultation, 18 March 2026, notice body; Chinese text paraphrased by AI assistance.",https://www.wnd.gov.cn/doc/2026/03/18/4747194.shtml,18 March 2026; consultation closed 24 March,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Wuxi OpenClaw/OPC consultation,Official Chinese notice read and paraphrased,Not proof of universal or disbursed support
evidence-and-design-ledger.csv,12,B03,"B03: Beijing E-Town real-time model-voucher platform, 20 July 2026 account, launch, enterprise eligibility and settlement paragraphs.",https://invest.beijing.gov.cn/english/Choose/Under/New/202607/t20260721_4775277.html,14 July 2026 launch; 20 July account,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Real-time multi-model settlement for eligible enterprises,Official English page read,Enterprise eligibility; disbursement and take-up not independently verified
evidence-and-design-ledger.csv,13,B04,"B04: Singapore government: support through the AI transition, selected SkillsFuture courses and six-month access.",https://www.gov.sg/explainers/how-singaporean-workers-are-supported-through-the-ai-transition/,2026 announcement; second-half start proposed,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Course-linked premium access,Official explainer read,Training gateway and six-month limit differ from proposition
evidence-and-design-ledger.csv,14,B05,"B05: IndiaAI End-User Policy for AI Services on the Cloud, February 2025, §§3–4 and payment terms; current portal eligibility.",https://compute.indiaai.gov.in/files/end-user-policy.pdf ; https://compute.indiaai.gov.in/eligibilitycriteria,February 2025 policy; current portal checked,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Marketplace access includes approval and defined user categories,"Full policy PDF; eligibility, approval and payment sections",Not universal unconditional personal access
evidence-and-design-ledger.csv,15,B06,"B06: 1517 Medici Project, stipend, ownership, non-startup and geographic boundaries.",https://1517fund.com/medici,Current at retrieval,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Self-directed project stipend and retained IP/equity,Operator page read,Selected projects; current North America boundary
evidence-and-design-ledger.csv,16,B07,"B07: Mercatus: Emergent Ventures, eligibility and programme description.",https://www.mercatus.org/emergent-ventures,Current at retrieval,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Low-overhead selected idea funding,Operator page read,Selection and minimum age are not universal-entitlement evidence
evidence-and-design-ledger.csv,17,B08,"B08: Thiel Fellowship, current grant and college stop-out terms.",https://thielfellowship.org/,Current at retrieval,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Funding outside conventional college progression,Operator page read,College stop-out/skip condition and selection not suitable base-access rules
evidence-and-design-ledger.csv,18,B09,"B09: IRS Form 4547 instructions, account versus seed eligibility, growth period and distributions.",https://www.irs.gov/instructions/i4547,Current IRS instructions,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Individual investment account; restricted early withdrawal,IRS instructions read; account and seed eligibility distinguished,Not current spendable AI or education entitlement; specific seed eligibility
evidence-and-design-ledger.csv,19,B10,"B10: IRS Topic 313: qualified tuition programmes, beneficiary contributions and qualified uses.",https://www.irs.gov/taxtopics/tc313,Current IRS topic,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Beneficiary-directed qualified tuition savings,IRS page read,Requires funding contributions; not universal federal grant
evidence-and-design-ledger.csv,20,B11,"B11: Arizona ESA support, ClassWallet and spending administration.",https://www.azed.gov/esa/esa-support,Current Arizona support page,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Family-directed payment using ClassWallet,Official page read,Approved education spending/eligibility remain
evidence-and-design-ledger.csv,21,B12,"B12: IRS Federal Scholarship Tax Credit, 2027 commencement and participating-state mechanism; current official indexed text retrieved.",https://www.irs.gov/government-entities/federal-state-local-governments/federal-scholarship-tax-credit-fstc,2027 commencement described in 2026,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Tax-credit support through scholarship organisations,Current official indexed text; direct-page access limited,Not operating in 2026; state participation; indirect entitlement
evidence-and-design-ledger.csv,22,B13,"B13: Kela: evaluation of Finland's basic-income experiment, population, evaluation and outcome summary; not a compute experiment.",https://tietotarjotin.fi/en/publication/116455/evaluation-of-the-finnish-basic-income-experiment,2017–2018 experiment; evaluation published 2020,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Autonomy/wellbeing and employment outcomes distinguished,Kela evaluation summary read; no microdata replication,Specific unemployed age group; survey and concurrent-policy limits; not compute
evidence-and-design-ledger.csv,23,B14,"B14: UK Child Trust Fund overview, control/withdrawal ages and scheme closure.",https://www.gov.uk/child-trust-funds/overview,Closed to new entrants in 2011; current guidance,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Control and withdrawal can have different ages,GOV.UK overview read,Historical savings scheme; no optimal AI-access-age finding
