model,workload,input_million,output_million,usd,assumed_aud_per_usd,tax_factor,gross_aud,note
gemini-2.5-flash-lite,starter,2,0.5,0.40,1.3,1.1,0.5720,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
gemini-2.5-flash-lite,starter,2,0.5,0.40,1.5,1.1,0.6600,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
gemini-2.5-flash-lite,starter,2,0.5,0.40,1.8,1.1,0.7920,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
gemini-2.5-flash-lite,builder,10,2,1.8,1.3,1.1,2.574,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
gemini-2.5-flash-lite,builder,10,2,1.8,1.5,1.1,2.970,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
gemini-2.5-flash-lite,builder,10,2,1.8,1.8,1.1,3.564,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
gemini-2.5-flash-lite,heavy_agent,50,10,9.0,1.3,1.1,12.870,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
gemini-2.5-flash-lite,heavy_agent,50,10,9.0,1.5,1.1,14.850,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
gemini-2.5-flash-lite,heavy_agent,50,10,9.0,1.8,1.1,17.820,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
claude-sonnet-4-6,starter,2,0.5,13.5,1.3,1.1,19.305,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
claude-sonnet-4-6,starter,2,0.5,13.5,1.5,1.1,22.275,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
claude-sonnet-4-6,starter,2,0.5,13.5,1.8,1.1,26.730,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
claude-sonnet-4-6,builder,10,2,60,1.3,1.1,85.80,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
claude-sonnet-4-6,builder,10,2,60,1.5,1.1,99.00,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
claude-sonnet-4-6,builder,10,2,60,1.8,1.1,118.80,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
claude-sonnet-4-6,heavy_agent,50,10,300,1.3,1.1,429.00,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
claude-sonnet-4-6,heavy_agent,50,10,300,1.5,1.1,495.00,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
claude-sonnet-4-6,heavy_agent,50,10,300,1.8,1.1,594.00,"Token charges only; no quality equivalence, under-18 eligibility or complete delivered-service claim"
